lr,gamma,scores,avg_scores
0.0001,0.99,-175.04296675913756,-115.98097464882242
0.0001,0.99,-69.66732821142614,-114.84998249455059
0.0001,0.99,-72.81797491040585,-114.21616883770949
0.0001,0.99,-68.76377850938613,-113.88304590545276
0.0001,0.99,-127.47987995491238,-113.53935862311683
0.0001,0.99,-60.06458238530037,-113.07016862297738
0.0001,0.99,-59.71823013535521,-112.56602155863764
0.0001,0.99,-129.5171892931589,-112.97013139802158
0.0001,0.99,-54.5739570034445,-112.79635582350691
0.0001,0.99,-67.92207559531045,-112.84772220666548
0.0001,0.99,-86.93735385264047,-112.72028472849925
0.0001,0.99,-80.02013688927855,-112.9588064275093
0.0001,0.99,-187.57643081293344,-113.65682721726309
0.0001,0.99,-58.3772881524678,-113.13619316591365
0.0001,0.99,-212.29286113390316,-114.48293085568663
0.0001,0.99,-65.45764171770199,-111.83011473433179
0.0001,0.99,-96.7346108233123,-111.12813400248415
0.0001,0.99,-92.12242946182467,-110.9593820676319
0.0001,0.99,-81.0699409416626,-110.77626691550391
0.0001,0.99,-197.30029245974055,-111.96468763086433
0.0001,0.99,-108.13360286790427,-111.65796654270778
0.0001,0.99,-71.56564021974008,-110.8852110899928
0.0001,0.99,-195.39365417323324,-111.67338001978297
0.0001,0.99,-171.4329809949117,-111.84855368781368
0.0001,0.99,-76.92956342223309,-111.4214835521341
0.0001,0.99,-232.43567946859605,-112.9369028091932
0.0001,0.99,-123.43598720385174,-113.775141031445
0.0001,0.99,-120.78900582732379,-113.51660477370753
0.0001,0.99,-39.450866623333724,-112.86213985610472
0.0001,0.99,-143.05403156485116,-112.37041040892434
0.0001,0.99,-94.91437701436246,-112.12209621441461
0.0001,0.99,-82.09782622415985,-111.84721123939248
0.0001,0.99,-346.5244430740906,-114.87308358267956
0.0001,0.99,-166.69215533530885,-115.80918314625318
0.0001,0.99,-187.36317593747802,-114.83645116010516
0.0001,0.99,-21.74621127377229,-114.28722733938679
0.0001,0.99,-99.25841989044956,-113.51592791089868
0.0001,0.99,-274.49618449496666,-112.68866585156078
0.0001,0.99,-67.1399325561577,-111.48480661610533
0.0001,0.99,-126.20105780722731,-111.78621893900758
0.0001,0.99,-101.55984246936711,-109.69722492620942
0.0001,0.99,-66.69311304943608,-108.82639652350481
0.0001,0.99,-82.98993569793359,-108.69252905555506
0.0001,0.99,-133.29166505503525,-108.5783282862426
0.0001,0.99,-108.26107427365076,-108.72487239499789
0.0001,0.99,-88.90254680781507,-108.48287548837914
0.0001,0.99,-224.10745813500083,-110.41944400648889
0.0001,0.99,-20.259184653926113,-109.52196360201306
0.0001,0.99,-32.96462700720666,-108.73316845807085
0.0001,0.99,-80.24386392483433,-108.26854030825903
0.0001,0.99,-21.372323068857057,-107.4850355408474
0.0001,0.99,-126.32081407490017,-107.33276654413149
0.0001,0.99,-94.57496487641194,-107.34719765120302
0.0001,0.99,-59.71584794148361,-106.27129958175954
0.0001,0.99,-131.71427335680204,-107.02619068948455
0.0001,0.99,-143.90390482130724,-107.40490109477507
0.0001,0.99,-184.92014600566927,-108.58597937129049
0.0001,0.99,-133.59737995040672,-109.42232230902646
0.0001,0.99,-78.18336000431886,-109.17408667134097
0.0001,0.99,-189.28768973651688,-109.8671397337394
0.0001,0.99,-196.38252585687707,-110.98524134438568
0.0001,0.99,-136.7497381672545,-111.37701734575155
0.0001,0.99,-85.43932793134437,-111.34804224961943
0.0001,0.99,-82.90514182357103,-110.91284249059089
0.0001,0.99,-72.92448696461523,-110.84932091698356
0.0001,0.99,-102.51409639534913,-111.99388093656972
0.0001,0.99,0.44341012559829096,-107.68676446835401
0.0001,0.99,-229.75681388695884,-107.5732233892894
0.0001,0.99,-76.33514164997777,-107.28083477740475
0.0001,0.99,-91.11665410746076,-106.93805285519164
0.0001,0.99,-69.50192718989625,-106.81586025520897
0.0001,0.99,-132.19778424463658,-107.3249898863144
0.0001,0.99,-242.95563420158695,-109.73294554016925
0.0001,0.99,12.779732220745942,-108.6322848915785
0.0001,0.99,-104.45996740149207,-109.03327904035179
0.0001,0.99,-10.277218459821484,-107.65478448162374
0.0001,0.99,-92.48725593407785,-107.82108998064962
0.0001,0.99,-97.49157933471139,-108.03247338179963
0.0001,0.99,-129.68339828379982,-108.32657376452386
0.0001,0.99,-79.80455692393161,-108.23093845911094
0.0001,0.99,-110.35894146665606,-108.25911769978771
0.0001,0.99,-21.09986152111871,-106.99955893810217
0.0001,0.99,-50.10013553078811,-106.59142901456882
0.0001,0.99,-80.78123326167555,-106.73889927807551
0.0001,0.99,-50.7263671668469,-106.34337259141904
0.0001,0.99,-214.02124701262866,-108.59039827251684
0.0001,0.99,-43.647864450748486,-108.49485956669626
0.0001,0.99,-167.69631030432367,-108.96524729831245
0.0001,0.99,-103.44596439368226,-109.06737633941266
0.0001,0.99,-150.1449543373136,-110.04950953905161
0.0001,0.99,-142.4605173489125,-110.2169989763852
0.0001,0.99,-80.96869334272591,-110.26805994258672
0.0001,0.99,-115.1460910885139,-110.35842793147174
0.0001,0.99,-85.25634916720193,-110.21923199979702
0.0001,0.99,-65.46296317678896,-109.965574512545
0.0001,0.99,-31.39110648004879,-109.4103458525082
0.0001,0.99,-105.88048257602436,-109.16999166663778
0.0001,0.99,-229.84544566882224,-110.3520711135423
0.0001,0.99,-84.00725174732642,-110.10934435398843
0.0001,0.99,-98.37083103555558,-109.45948477376857
0.0001,0.99,-411.06434768099007,-111.81969858298707
0.0001,0.99,-152.45033801917575,-112.6475286810646
0.0001,0.99,-72.50131055064773,-112.64436203746702
0.0001,0.99,-44.04053736620386,-112.39712962603518
0.0001,0.99,-38.33832533920766,-111.50571407987813
0.0001,0.99,-81.50988259708245,-111.72016708199594
0.0001,0.99,-78.10397957795304,-111.9040245764219
0.0001,0.99,-108.07893534683521,-111.68964203695869
0.0001,0.99,-93.73192842573084,-112.08122175118153
0.0001,0.99,-151.75747311791332,-112.91957572640759
0.0001,0.99,-52.67417219602308,-112.57694390984142
0.0001,0.99,-20.901967689245254,-111.98576221784106
0.0001,0.99,-105.75187442953238,-111.16751665400707
0.0001,0.99,-59.293968257193384,-111.17668345505432
0.0001,0.99,-85.26659644024993,-109.90642080811779
0.0001,0.99,-97.69329367697956,-110.22877732771056
0.0001,0.99,-58.97211621361454,-109.85115238161357
0.0001,0.99,-101.64691187609412,-109.94639720575626
0.0001,0.99,-29.390517758628704,-109.42960297392592
0.0001,0.99,-101.59767400761962,-108.47257678940473
0.0001,0.99,-98.77604249101088,-108.3790011856358
0.0001,0.99,-78.2017126776515,-108.4453619102149
0.0001,0.99,-128.38604812426522,-107.77528584972524
0.0001,0.99,-209.08406725730026,-108.1517967123491
0.0001,0.99,-92.40372337397939,-108.30653831186657
0.0001,0.99,-102.5701991567961,-107.00788350874856
0.0001,0.99,-152.44820746410792,-107.29800571135114
0.0001,0.99,-77.69996382883788,-106.8671152913663
0.0001,0.99,-77.94641639858418,-107.25207078911879
0.0001,0.99,-118.32474773046818,-107.00477795077495
0.0001,0.99,-72.50846609504553,-106.7807188415818
0.0001,0.99,-64.15387088445198,-106.60127928818473
0.0001,0.99,-67.24852572912562,-103.80852011473507
0.0001,0.99,-60.82746681384933,-102.74987322952047
0.0001,0.99,-111.6378973347015,-101.99262044349273
0.0001,0.99,-108.62667059808942,-102.86142503673587
0.0001,0.99,-105.88191317402647,-102.92765996957161
0.0001,0.99,-165.37784870726003,-101.83647661169456
0.0001,0.99,-69.2048256015099,-101.85712554214805
0.0001,0.99,-78.02218065414647,-101.37533677061727
0.0001,0.99,-46.83172699449521,-100.82805561586856
0.0001,0.99,-139.40359160680106,-101.55516040144221
0.0001,0.99,-76.75182305133004,-101.49277927497619
0.0001,0.99,-109.71977064665299,-101.25706033089234
0.0001,0.99,-78.81082703637912,-100.96255785851963
0.0001,0.99,-77.44512109895336,-100.84798360143103
0.0001,0.99,-172.93851607420493,-100.33629418082306
0.0001,0.99,-198.45309720752198,-102.11823330635903
0.0001,0.99,-156.17287616450858,-103.35031579793207
0.0001,0.99,-67.08329729350365,-103.21871013161875
0.0001,0.99,-91.11921377604348,-103.91617903869059
0.0001,0.99,-60.48966045789582,-103.25786750252055
0.0001,0.99,-80.54040759631354,-103.11752192971957
0.0001,0.99,-30.77517938692587,-102.828115244174
0.0001,0.99,-42.39647187664008,-101.9349372293724
0.0001,0.99,-48.16517145017167,-100.97754989566103
0.0001,0.99,-106.1565310720648,-100.18991374632498
0.0001,0.99,-223.39549272677212,-101.08789487408862
0.0001,0.99,-54.39975313348249,-100.85005880538027
0.0001,0.99,-85.98007206875522,-99.81698262870265
0.0001,0.99,-63.022140953020525,-98.48337877966406
0.0001,0.99,-34.81823073599958,-97.46406370535155
0.0001,0.99,-130.13788469107413,-97.91104927294882
0.0001,0.99,-75.65434437329988,-97.83854129844615
0.0001,0.99,-97.5985000144083,-98.08528142894407
0.0001,0.99,-129.41138812954102,-98.354254346286
0.0001,0.99,-60.666931437939255,-98.96535776192137
0.0001,0.99,-74.70410943696069,-97.4148307174214
0.0001,0.99,-67.8032236174661,-97.32951153709628
0.0001,0.99,-81.55118907090099,-97.23385688673065
0.0001,0.99,-84.35173859399822,-97.38235500077168
0.0001,0.99,-111.76950150981139,-97.1780721734234
0.0001,0.99,-160.65955578481072,-96.35511138925564
0.0001,0.99,-89.31614872791525,-97.37607019874226
0.0001,0.99,-78.0595461654577,-97.11206598638191
0.0001,0.99,-102.18290479548014,-98.03112284973854
0.0001,0.99,-137.1200032725718,-98.47745032312346
0.0001,0.99,-83.37260318656601,-98.336260561642
0.0001,0.99,-77.61977721449009,-97.8156243509489
0.0001,0.99,-126.33107700604373,-98.28088955177002
0.0001,0.99,-1.4232226296157506,-97.19153236339962
0.0001,0.99,-76.4657717283854,-97.74519146547229
0.0001,0.99,-121.51301185854568,-98.45932022874987
0.0001,0.99,-86.52862264981816,-98.5167941226313
0.0001,0.99,-79.87850118515375,-98.80831546281438
0.0001,0.99,-108.42694717236787,-97.75237246441175
0.0001,0.99,-64.84649638620374,-97.96435878376631
0.0001,0.99,-44.83371364053929,-96.73573281712846
0.0001,0.99,-29.384168776992453,-95.99511486096156
0.0001,0.99,-174.96426238408975,-96.24330794142934
0.0001,0.99,-47.357525583103424,-95.29227802377125
0.0001,0.99,-109.38290958632194,-95.5764201862072
0.0001,0.99,-93.47189074315632,-95.35967818275363
0.0001,0.99,-90.2304528635815,-95.40941921971742
0.0001,0.99,-106.52131019936827,-95.8200026899432
0.0001,0.99,-78.1358420943608,-96.28745004608632
0.0001,0.99,-77.04649358623796,-95.99911015618846
0.0001,0.99,-71.53792186527544,-94.41603491815302
0.0001,0.99,-75.23892075371992,-94.32835160821695
0.0001,0.99,-108.38703438789652,-94.42851364174034
0.0001,0.99,-106.62059564943574,-91.38407612142483
0.0001,0.99,-48.61512129387904,-90.3457239541718
0.0001,0.99,-119.96261097640986,-90.82033695842945
0.0001,0.99,-49.5632782214435,-90.87556436698183
0.0001,0.99,15.853565207225358,-90.33364546151752
0.0001,0.99,-81.2191787868149,-90.33073842341483
0.0001,0.99,-75.39394554950039,-90.3036380831303
0.0001,0.99,-86.12915969842717,-90.0841403266462
0.0001,0.99,-117.63223556347802,-90.32314339802367
0.0001,0.99,-193.33917075899353,-90.7389603744345
0.0001,0.99,-109.13568912357374,-91.30357554371
0.0001,0.99,-167.93247118687805,-92.77388057868635
0.0001,0.99,-23.43057772959942,-91.95066761168701
0.0001,0.99,-84.54342681142339,-92.20316219722932
0.0001,0.99,-244.51969412199202,-93.79569317404673
0.0001,0.99,-136.76039876198968,-94.18636422489685
