,lr,gamma,scores,avg_scores
0,0.001,0.99,"[-173.65038567766902, -160.31776694422112, -136.75793926386626, -170.90035121982663, -42.64489002596754]","[-173.65038567766902, -166.98407631094506, -156.90869729525213, -160.40661077639575, -136.8542666263101]"
1,0.001,0.999,"[-173.65038567766902, -160.31776694422112, -136.75793926386626, -170.90035121982663, -42.64489002596754]","[-173.65038567766902, -166.98407631094506, -156.90869729525213, -160.40661077639575, -136.8542666263101]"
2,0.0001,0.99,"[-173.65038567766902, -160.31776694422112, -172.55369675231344, -104.53937795702664, -105.18668252529518]","[-173.65038567766902, -166.98407631094506, -168.84061645806784, -152.76530683280754, -143.24958197130508]"
3,0.0001,0.999,"[-173.65038567766902, -160.31776694422112, -136.75793926386626, -170.90035121982663, -450.7897743444803]","[-173.65038567766902, -166.98407631094506, -156.90869729525213, -160.40661077639575, -218.48324349001268]"
