lr,gamma,scores,avg_scores
0.001,0.99,122.9132401901198,-21.882779604282995
0.001,0.99,136.32181804397098,-19.02744007019212
0.001,0.99,216.63847803949218,-14.216117615558247
0.001,0.99,163.59284682391925,-12.154621081279549
0.001,0.99,221.61945134307746,-9.911477322111091
0.001,0.99,251.7516616961596,-6.794512434787318
0.001,0.99,19.479000460045548,-5.864491845766642
0.001,0.99,151.94397175584416,-3.415313416908233
0.001,0.99,-226.47262984488114,-5.347027610687431
0.001,0.99,-164.8311870410917,-6.770473797610132
0.001,0.99,-88.9523427120614,-9.415561441161039
0.001,0.99,220.5208320329907,-6.34904403259042
0.001,0.99,148.0957366487612,-5.136965811700154
0.001,0.99,103.07949557057741,-3.4152409572086704
0.001,0.99,-29.310401418619136,-3.673708053792706
0.001,0.99,55.434969620091856,-2.0642062376182895
0.001,0.99,99.49715806540047,0.4261451679098423
0.001,0.99,10.224284846735927,0.10459526095619694
0.001,0.99,-16.728605424918314,-1.5372270470245832
0.001,0.99,-65.96083342782143,-4.323246240601012
0.001,0.99,-65.28779113858315,-5.2404326549629445
0.001,0.99,-170.63102818847858,-8.013283421894233
0.001,0.99,-137.1442548063805,-10.957256356623985
0.001,0.99,281.3939151714895,-6.57533889249728
0.001,0.99,242.5187795958123,-2.945818102012501
0.001,0.99,-47.64592250074338,-4.462389473992738
0.001,0.99,-107.59179542603643,-5.945793743028833
0.001,0.99,-175.22449606376045,-8.742595884745072
0.001,0.99,-181.91393010682737,-11.841873339926323
0.001,0.99,-146.12965333772706,-12.62538971945247
0.001,0.99,-139.42687039882674,-11.909379266990904
0.001,0.99,-194.0228446435156,-13.54104917675131
0.001,0.99,-63.56775691555484,-13.299448121945032
0.001,0.99,247.9703604960949,-9.02430067677721
0.001,0.99,179.86319334587432,-5.695945774357231
0.001,0.99,131.878258059459,-2.4269817246432313
0.001,0.99,-149.65960759769308,-2.6452489246998927
0.001,0.99,50.16824773069507,-3.070801196192489
0.001,0.99,-186.7801236883231,-6.430437818825217
0.001,0.99,-92.30428416319475,-7.510121814586081
0.001,0.99,-34.219706657456214,-6.043397810860099
0.001,0.99,-196.8255124052717,-6.436652185310723
0.001,0.99,263.4515318998856,-3.2676925886800334
0.001,0.99,247.02103590458523,0.7805817101817228
0.001,0.99,210.82859051438555,4.437457589531725
0.001,0.99,-181.27708175013288,2.3224060181750135
0.001,0.99,268.62157082985965,6.105727261334923
0.001,0.99,-216.98374189573715,1.9239652190495562
0.001,0.99,260.49122206797335,3.3950419416910664
0.001,0.99,115.00512760267503,6.837867375574522
0.001,0.99,136.56094544709796,10.129124286936955
0.001,0.99,242.1582958401416,13.959029649132251
0.001,0.99,239.6411281150731,17.985584644200618
0.001,0.99,-88.00752753831544,18.489541549735826
0.001,0.99,-118.21764204970104,18.787285337864528
0.001,0.99,159.89309152438966,21.265205125134717
0.001,0.99,285.377874326585,24.949856075073484
0.001,0.99,190.49949053836457,28.884606600332955
0.001,0.99,168.0795790544808,32.438107970468266
0.001,0.99,237.41057969379074,36.884303407777054
0.001,0.99,263.248265387989,40.447206186721886
0.001,0.99,235.73204631709496,42.12905136514983
0.001,0.99,290.47272243702855,45.74143718725805
0.001,0.99,267.1700229199969,49.08110029212109
0.001,0.99,-163.16462536362738,46.47268667687818
0.001,0.99,254.20735147342467,47.41013338611486
0.001,0.99,-354.3042193413695,42.970965268838235
0.001,0.99,292.7499990391017,45.03521636730897
0.001,0.99,171.02399846224046,45.49997924781237
0.001,0.99,-183.29605720547207,43.21524007874108
0.001,0.99,238.07409734534767,45.793024172925364
0.001,0.99,234.17073596350934,46.004777281577574
0.001,0.99,259.53192219533616,48.758340767308084
0.001,0.99,170.76381256861674,51.39097608687205
0.001,0.99,269.2708381748114,51.6299957228016
0.001,0.99,269.2148246498533,51.63098277890533
0.001,0.99,205.4960693659583,54.760129289910466
0.001,0.99,164.11832845894426,54.51214421533132
0.001,0.99,251.6450428422194,58.83339361389875
0.001,0.99,277.3654694799676,59.421557753792065
0.001,0.99,268.31178065805966,60.57037537909171
0.001,0.99,179.77816215551567,65.44793945393641
0.001,0.99,311.3864839783302,70.26682595219988
0.001,0.99,249.29001790200536,73.48232553093047
0.001,0.99,288.9690220505747,74.0643029411865
0.001,0.99,274.5798408059048,76.5643529785997
0.001,0.99,-5.471373943097063,75.50273020659736
0.001,0.99,266.5300317198289,81.32512172691368
0.001,0.99,287.54925095399165,82.10490683214222
0.001,0.99,169.70174505080266,85.58169366008677
0.001,0.99,184.64212883239193,88.31435803832392
0.001,0.99,263.42541706360566,92.18740883390396
0.001,0.99,253.7551411877377,93.67877972615432
0.001,0.99,288.9295422772861,95.05381286091371
0.001,0.99,263.60144781062735,99.3309824698939
0.001,0.99,-152.1246659837688,95.75490662093762
0.001,0.99,161.93256460422518,101.40503235043698
0.001,0.99,240.08801600875782,102.0776893344925
0.001,0.99,244.9655410147122,102.23897933877171
0.001,0.99,133.31718220990024,103.81476113282609
0.001,0.99,289.09851143787694,105.47661384530367
0.001,0.99,278.3748036435585,106.89714370129954
0.001,0.99,-56.824724714830126,104.16251167375633
0.001,0.99,245.0120931409962,104.9767041369271
0.001,0.99,251.55681903665484,105.2760778138629
0.001,0.99,247.1091394906677,105.22965259180795
0.001,0.99,-104.31159128491375,103.99174667435837
0.001,0.99,-89.90690661297718,101.57323789067013
0.001,0.99,225.07824406037145,106.08874662972266
0.001,0.99,265.3862225400636,110.39092072553423
0.001,0.99,268.16327180851914,113.96207687074002
0.001,0.99,-142.94402655238224,110.3274282848863
0.001,0.99,227.421798037207,111.12068889877077
0.001,0.99,-118.33920350678298,108.90650190799715
0.001,0.99,-171.66037270087884,107.48300219517456
0.001,0.99,-114.31796639242806,105.78547283504936
0.001,0.99,150.21330671640192,106.2926343215594
0.001,0.99,258.4351488198971,108.774742961291
0.001,0.99,153.7093117334482,110.47912213287465
0.001,0.99,2.867567668552823,111.16740614383838
0.001,0.99,260.8775344160564,114.42905939938481
0.001,0.99,275.0256720675856,118.88562640194544
0.001,0.99,183.19786819242609,122.08904763193351
0.001,0.99,253.04802959799454,121.80558877619856
0.001,0.99,-13.722142865672243,119.24317955158371
0.001,0.99,13.73438896928991,119.85698266628404
0.001,0.99,293.56499634939973,123.8685505840384
0.001,0.99,-42.28041856935329,125.19799135898248
0.001,0.99,-37.742003197332195,126.63971062807742
0.001,0.99,248.34595965459252,130.58446675800062
0.001,0.99,245.12982973528435,134.43003375934174
0.001,0.99,101.49005296283855,137.3851627354053
0.001,0.99,281.8968191458865,140.83980849601969
0.001,0.99,33.19140810857982,138.69201897214455
0.001,0.99,267.5885151852656,139.56927219053844
0.001,0.99,153.7228821142587,139.78771843108643
0.001,0.99,216.26628390017504,143.44697734606513
0.001,0.99,281.3308455738729,145.7586033244969
0.001,0.99,215.62835579958687,149.782688119376
0.001,0.99,-113.55345577530018,149.57019640325495
0.001,0.99,-236.87220274964272,147.54367144233308
0.001,0.99,-247.64764086874766,147.03545015769836
0.001,0.99,269.99908097826415,147.1009256484821
0.001,0.99,181.13408035404888,146.44205609297677
0.001,0.99,255.9777783034594,146.8935479708675
0.001,0.99,-186.35425470743382,146.84277624129447
0.001,0.99,275.9967354532455,146.91652788752833
0.001,0.99,272.4483709426085,151.81084901591177
0.001,0.99,217.18333049884683,151.37777010022052
0.001,0.99,2.9990633353308027,150.25770945754707
0.001,0.99,265.28962866534096,151.5449962897295
0.001,0.99,246.18086040439465,151.58522193537203
0.001,0.99,271.7395927741457,151.90620658196275
0.001,0.99,245.30625382726794,155.23934439561862
0.001,0.99,253.99902232290626,158.96151103934469
0.001,0.99,217.61023556858748,159.53868247978664
0.001,0.99,-16.556329873410895,156.5193404377867
0.001,0.99,-30.431909190418963,154.31002644049886
0.001,0.99,266.5281329338662,155.29451197929274
0.001,0.99,226.660244308618,155.187008625441
0.001,0.99,254.35203778097332,155.09804634937086
0.001,0.99,185.58005716942475,154.59652645789413
0.001,0.99,275.14753240016694,154.44327455752554
0.001,0.99,234.4166896405537,154.1157412247311
0.001,0.99,264.77694875212126,158.3951569658886
0.001,0.99,296.39170119077437,158.81700046306207
